en_URL,ar_URL
http://www.huffingtonpost.com/jill-p-weber-phd-/5-ways-to-make-yourself-more-attractive-in-any-relationship_b_13662432.html,http://www.huffpostarabi.com/2017/01/14/story_n_14150448.html
https://mic.com/articles/165403/lindsay-lohan-s-instagram-bio-says-alaikum-salam-and-muslims-are-welcoming-her-to-islam,http://www.huffpostarabi.com/2017/01/14/story_n_14167694.html
https://www.theguardian.com/us-news/2017/jan/13/donald-trumps-rhetoric-how-being-inarticulate-is-seen-as-authentic,http://www.huffpostarabi.com/2017/01/14/story_n_14167008.html
http://www.huffingtonpost.com/quora/why-iphones-dominate-the_b_14109216.html,http://www.huffpostarabi.com/2017/01/14/story_n_14166162.html
http://www.telegraph.co.uk/news/2017/01/13/us-spies-warned-israel-not-share-intelligence-trump/,http://www.huffpostarabi.com/2017/01/14/story_n_14165372.html
http://www.twincities.com/2017/01/13/minneapolis-man-charged-for-death-of-saudi-student-in-menomonie/,http://www.huffpostarabi.com/2017/01/14/story_n_14164512.html
http://foreignpolicy.com/2017/01/13/italys-last-ditch-effort-to-stabilize-libya-russia-haftar/,http://www.huffpostarabi.com/2017/01/14/story_n_14164510.html
http://www.telegraph.co.uk/news/2017/01/13/desperate-assad-conscripting-50-year-olds-beleaguered-syrian/,http://www.huffpostarabi.com/2017/01/14/story_n_14163118.html
http://www.businessinsider.de/awesome-weird-iphone-accessories-2016-6,http://www.huffpostarabi.com/2017/01/14/story_n_14133656.html
http://www.latimes.com/entertainment/movies/la-et-mn-katy-perry-concentration-camp-usa-20170112-story.html,http://www.huffpostarabi.com/2017/01/14/story_n_14163454.html
http://www.independent.co.uk/life-style/health-and-families/science-says-parents-of-successful-kids-have-these-11-things-in-common-a6751951.html,http://www.huffpostarabi.com/2016/03/10/story_n_9422304.html
http://www.bbc.com/news/world-us-canada-38297343,http://www.huffpostarabi.com/2017/01/13/story_n_14152312.html
https://www.theguardian.com/technology/2017/jan/13/whatsapp-backdoor-allows-snooping-on-encrypted-messages,http://www.huffpostarabi.com/2017/01/13/story_n_14151110.html
http://www.dailymail.co.uk/news/article-4116414/Everyone-Muslim-stupidity-Catholic-leader-says-Europe-Islamic-state-migrant-crisis.html,http://www.huffpostarabi.com/2017/01/13/story_n_14150442.html
http://www.dailymail.co.uk/health/article-4108370/Nutella-maker-fights-palm-oil-cancer-risk-study.html,http://www.huffpostarabi.com/2017/01/13/story_n_14144214.html
https://www.washingtonpost.com/news/worldviews/wp/2017/01/12/the-guardians-of-the-liberal-order-now-foresee-its-collapse/,http://www.huffpostarabi.com/2017/01/13/story_n_14146974.html
http://www.medicaldaily.com/5-best-tips-cope-mood-swings-severe-anxiety-deep-depression-408012,http://www.huffpostarabi.com/2017/01/12/story_n_14135816.html
http://www.huffingtonpost.com/kevin-kruse/5-questions-predict-if-yo_b_14025536.html,http://www.huffpostarabi.com/2017/01/13/story_n_14133644.html
https://www.theguardian.com/world/2017/jan/12/syrian-who-took-merkel-selfie-sues-facebook-over-defamatory-posts,http://www.huffpostarabi.com/2017/01/13/story_n_14145198.html
https://www.washingtonpost.com/national/how-an-obscure-policy-effort-could-hurt-american-muslims/2017/01/11/8ce93184-d76e-11e6-b8b2-cb5164beba6b_story.html,http://www.huffpostarabi.com/2017/01/13/story_n_14145062.html
https://www.theguardian.com/world/2017/jan/12/israeli-official-plotted-take-down-british-mps-resigns-shai-masot,http://www.huffpostarabi.com/2017/01/13/story_n_14144126.html
http://www.independent.co.uk/news/world/middle-east/syria-war-latest-russia-sends-12-more-warplanes-to-syria-despite-announcing-military-withdrawal-a7524351.html,http://www.huffpostarabi.com/2017/01/13/story_n_14144154.html
